epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1445,1.17011,3.52996,1.2362,0.00354,0.90541,0.3801,0.24553,0.91637,3.56588,0.91583,0.00026,0.00026,0.00026
2,92.2492,1.04036,2.21879,1.05757,0.00365,0.93243,0.35491,0.23993,0.8959,3.52154,0.91353,0.00048654,0.00048654,0.00048654
3,137.206,1.06888,1.96402,1.04893,1,0.26191,0.77535,0.50254,1.01302,3.32819,0.93329,0.00065764,0.00065764,0.00065764
4,182.864,1.09257,1.92156,1.08229,0.14423,0.7973,0.68439,0.42793,1.08113,3.24188,1.03626,0.0007733,0.0007733,0.0007733
5,228.059,1.12056,1.77849,1.08183,0.94849,0.74662,0.82178,0.58138,1.03705,2.54591,1.03717,0.00083352,0.00083352,0.00083352
6,273.091,0.99921,1.68407,1.01959,0.84423,0.73242,0.79072,0.52963,1.10848,2.27325,1.04929,0.0008383,0.0008383,0.0008383
7,317.92,0.99036,1.61697,1.0481,0.84629,0.744,0.82727,0.61281,1.00925,2.03634,1.00752,0.00078764,0.00078764,0.00078764
8,363.534,0.94806,1.4563,1.02309,0.85359,0.81081,0.8292,0.57939,1.04238,1.80219,0.99069,0.000614,0.000614,0.000614
9,408.538,0.92754,1.38547,0.9912,0.86263,0.8486,0.88738,0.63152,1.02564,1.64605,0.97608,0.000416,0.000416,0.000416
10,453.831,0.90756,1.33762,1.00301,0.87841,0.81081,0.86157,0.61761,0.97854,1.63372,0.9602,0.000218,0.000218,0.000218
