epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4339,1.10891,3.83125,1.1812,0.00339,0.86486,0.63369,0.39685,1.03676,3.67643,0.93234,0.00026,0.00026,0.00026
2,101.238,1.05667,2.47049,1.0191,0.0036,0.91892,0.76861,0.52105,1.04143,3.55547,0.9236,0.00048654,0.00048654,0.00048654
3,148.477,1.08684,2.14109,1.04466,0.79617,0.05302,0.44178,0.27716,1.07586,3.55398,0.97895,0.00065764,0.00065764,0.00065764
4,195.602,1.1112,2.07419,1.0863,0.96031,0.32701,0.51369,0.32539,1.17234,3.45662,1.02497,0.0007733,0.0007733,0.0007733
5,242.786,1.06721,1.93906,1.01883,0.90659,0.13142,0.32168,0.17524,1.07725,3.52754,1.00129,0.00083352,0.00083352,0.00083352
6,290.5,1.04267,1.84886,1.04006,0.64866,0.36486,0.50185,0.30971,1.06781,3.18512,1.07773,0.0008383,0.0008383,0.0008383
7,338.111,1.0092,1.71292,1.03071,0.95399,0.71622,0.85753,0.58939,1.06626,2.56911,1.04327,0.00078764,0.00078764,0.00078764
8,385.452,1.00749,1.68172,1.03539,0.90638,0.82432,0.88281,0.61638,1.03701,2.16007,1.01267,0.000614,0.000614,0.000614
9,432.574,0.98159,1.58841,0.99741,0.99431,0.86486,0.94316,0.64686,1.05355,1.89846,0.99711,0.000416,0.000416,0.000416
10,480.011,0.91091,1.49503,0.99507,1,0.88552,0.96057,0.68391,0.97562,1.75609,0.96129,0.000218,0.000218,0.000218
